price,room,bathroom,surface,link,property_type,city,zone
2950000.0,2.0,3.0,203.0,https://www.avito.ma/fr/autre_secteur/appartements/RAK_GU_1234___Appartement_%C3%A0_vendre_%C3%A0_Route_de_Safi_56399741.htm,Appartements , Marrakech,Autre secteur
1815080.0,,,,https://immoneuf.avito.ma/fr/unite/3mE?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1390000.0,3.0,2.0,128.0,https://www.avito.ma/fr/bourgogne/appartements/lux_appartement_%C3%A0_Bourgogne__53572705.htm,Appartements , Casablanca,Bourgogne
950000.0,2.0,2.0,105.0,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/chic_appartement_belv%C3%A9d%C3%A8re__55321379.htm,Appartements , Casablanca,Belvédère
610000.0,2.0,1.0,86.0,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Temara_55690519.htm,Appartements , Temara,Centre Ville
1150000.0,,,,https://immoneuf.avito.ma/fr/unite/m89?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1650000.0,5.0,3.0,380.0,https://www.avito.ma/fr/khemisset/maisons/Maison_titr%C3%A9e_avec_deux_%C3%A9tages_trois_garages_56261970.htm,Maisons , Khemisset,Toute la ville
920000.0,3.0,2.0,97.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/%D8%A5%D9%82%D8%A7%D9%85%D8%A9_%D8%A8%D8%B1%D8%B3%D8%AA%D9%8A%D8%AC_2_%D8%B9%D9%8A%D8%B4%D9%88%D8%A7_%D8%A7%D9%84%D8%B1%D8%A7%D8%AD%D8%A9_%D9%85%D8%B9_%D8%B9%D8%A7%D8%A6%D9%84%D8%AA%D9%83%D9%85_56175923.htm,Appartements , Casablanca,Sidi Bernoussi
1300000.0,2.0,2.0,81.0,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_2_chambres_haut_standing__55480030.htm,Appartements , Marrakech,Route de Casablanca
1600000.0,3.0,2.0,240.0,https://www.avito.ma/fr/nassim/maisons/Maison_%C3%A0_Nassim_Islane_pas_loin_de_Almaz_56712370.htm,Maisons , Casablanca,Nassim
